AirportID,Name,stadium_name,distance_km,City,Country,IATA,ICAO,airport_lat,airport_lon,Altitude,Timezone,DST,TzDatabaseTimezone,city_name,country,lat,lon
7712,Cobb County-Mc Collum Field,Mercedes-Benz Stadium,34.014854524856176,Atlanta,United States,\N,KRYY,34.01319885,-84.59860229,1040,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
7729,West 30th St. Heliport,MetLife Stadium,8.743560860028683,New York,United States,JRA,KJRA,40.754501,-74.007103,7,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
7780,Burlington Executive,BMO Field,40.758228192660596,Burlington,Canada,\N,CZBA,43.4414531515,-79.850102663,602,-5,A,America/Toronto,Toronto,Canada,43.633,-79.419
7820,Brampton Airport,BMO Field,39.29780568328989,Brampton,Canada,\N,CNC3,43.7602996826,-79.875,935,-5,A,America/Toronto,Toronto,Canada,43.633,-79.419
7846,Arlington Municipal Airport,AT&T Stadium,9.352453855517766,Arlington,United States,\N,KGKY,32.66389846801758,-97.09429931640624,628,-6,A,America/Chicago,Dallas,USA,32.748,-97.093
7847,Gwinnett County Briscoe Field,Mercedes-Benz Stadium,47.48987645200552,Lawrenceville,United States,LZU,KLZU,33.97809982,-83.96240234,1061,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
7869,New Century Aircenter Airport,Arrowhead Stadium,42.69600994767665,Olathe,United States,JCI,KIXD,38.8308982849,-94.890296936,1087,-6,A,America/Chicago,Kansas City,USA,39.049,-94.484
7888,Buchanan Field,Levi's Stadium,65.68561904744377,Concord,United States,CCR,KCCR,37.9897003174,-122.056999207,26,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97
7902,Toronto/Oshawa Executive Airport,BMO Field,52.992956606601176,Oshawa,Canada,YOO,CYOO,43.922798,-78.894997,460,-5,A,America/Toronto,Toronto,Canada,43.633,-79.419
7935,Collin County Regional At Mc Kinney Airport,AT&T Stadium,66.95416962964003,DALLAS,United States,\N,KTKI,33.17789841,-96.59049988,585,-6,A,America/Chicago,Dallas,USA,32.748,-97.093
7990,Essex County Airport,MetLife Stadium,18.648003268049045,Caldwell,United States,CDW,KCDW,40.875198364300005,-74.2814025879,173,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
8034,Republic Airport,MetLife Stadium,56.513184705901445,Farmingdale,United States,FRG,KFRG,40.7288017273,-73.4133987427,82,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
8123,One Police Plaza Heliport,MetLife Stadium,12.940225807781054,New York,United States,\N,NK39,40.71260070800781,-73.99960327148438,244,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
8188,Dallas Executive Airport,AT&T Stadium,22.31555597632958,Dallas,United States,RBD,KRBD,32.6809005737,-96.8682022095,660,-6,A,America/Chicago,Dallas,USA,32.748,-97.093
8220,Whiteman Airport,SoFi Stadium,34.73382707467445,Los Angeles,United States,WHP,KWHP,34.2593002319,-118.413002014,1003,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
8276,Taunton Municipal King Field,Gillette Stadium,31.594856221515727,Taunton,United States,\N,KTAN,41.8744010925293,-71.0166015625,43,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
8277,Plymouth Municipal Airport,Gillette Stadium,48.63608727914501,Plymouth,United States,PYM,KPYM,41.909,-70.728798,148,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
8278,Quonset State Airport,Gillette Stadium,56.272810214833655,North Kingstown,United States,NCO,KOQU,41.597099304199,-71.412101745605,18,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
8280,Norwood Memorial Airport,Gillette Stadium,13.37266835206019,Norwood,United States,OWD,KOWD,42.1904983521,-71.1728973389,49,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
8285,Marshfield Municipal George Harlow Field,Gillette Stadium,48.836353715179996,Marshfield,United States,\N,KGHG,42.09830093383789,-70.67220306396484,11,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
8290,Fitchburg Municipal Airport,Gillette Stadium,65.63384607728948,Fitchburg,United States,\N,KFIT,42.554100036621094,-71.75900268554688,348,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
