camp_airport_dist_km,AirportID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabaseTimezone,Type,team,city_camp,country_camp,camp_name,camp_lat,camp_long
6.033936566432639,3524,Atlantic City International Airport,Atlantic City,USA,ACY,KACY,39.45759963989258,-74.57720184326172,75,-5,A,America/New_York,airport,Haiti,New York New Jersey,USA,Stockton University,39.501,-74.535
53.82417242151458,3530,Gray Army Air Field,Fort Lewis,USA,GRF,KGRF,47.07920074,-122.5810013,300,-8,A,America/Los_Angeles,airport,Belgium,Renton,USA,Seattle Sounders FC Performance Centre and Clubhouse,47.4995,-122.227
33.50896073275792,3533,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,USA,FLL,KFLL,26.072599,-80.152702,9,-5,A,America/New_York,airport,Curaçao,Boca Raton,USA,Florida Atlantic University,26.3705,-80.102
23.942921481054235,3536,Salt Lake City International Airport,Salt Lake City,USA,SLC,KSLC,40.78839874267578,-111.97799682617188,4227,-7,A,America/Denver,airport,Bosnia and Herzegovina,Sandy,USA,RSL Stadium,40.5829,-111.8932
32.22021817472069,3548,Albert Whitted Airport,St. Petersburg,USA,SPG,KSPG,27.7651,-82.626999,7,-5,A,America/New_York,airport,Cape Verde,Tampa,USA,Waters Sportsplex,28.039,-82.52
39.82298261243399,3550,George Bush Intercontinental Houston Airport,Houston,USA,IAH,KIAH,29.984399795532227,-95.34140014648438,97,-6,A,America/Chicago,airport,DR Congo,Houston,USA,Houston Training Centre,29.628,-95.382
20.45131375667962,3552,Joint Base Andrews,Camp Springs,USA,ADW,KADW,38.810799,-76.866997,280,-5,A,America/New_York,airport,Croatia,Alexandria,USA,Episcopal High School,38.808,-77.103
5.112608175556977,3553,Smith Reynolds Airport,Winston-salem,USA,INT,KINT,36.13370132446289,-80.22200012207031,969,-5,A,America/New_York,airport,Germany,Winston-Salem,USA,Wake Forest University,36.1352,-80.2789
37.88859426999087,3553,Smith Reynolds Airport,Winston-salem,USA,INT,KINT,36.13370132446289,-80.22200012207031,969,-5,A,America/New_York,airport,Norway,Greensboro,USA,UNC Greensboro,36.0688,-79.808
10.150499257790841,3566,William P Hobby Airport,Houston,USA,HOU,KHOU,29.64539909,-95.27890015,46,-6,A,America/Chicago,airport,DR Congo,Houston,USA,Houston Training Centre,29.628,-95.382
