origin_stadium,destination_stadium,total_direct_flights,n_direct_routes,n_reachable_routes,avg_direct_distance_km,avg_path_distance_km,min_path_distance_km,avg_drive_distance_km,haversine_distance
Gillette Stadium,Arrowhead Stadium,1,1,4,2016.8494852741728,2537.775896339339,2016.8494852741728,80.4567257907017,1983.8608515287265
Gillette Stadium,BC Place,0,0,16,,6008.00545275029,4255.587301459116,96.58290372696774,4023.9183803653586
Gillette Stadium,BMO Field,3,2,16,706.1439266824973,3252.6668933920196,696.4037078508145,85.29998441338036,686.1134102051846
Gillette Stadium,Estadio Akron,0,0,4,,4327.753766437258,3817.2710787697306,71.12772678433566,3834.865320028438
Gillette Stadium,Estadio Azteca,0,0,8,,4210.778750092573,3598.5165983058787,76.78815772488869,3646.6565879097743
Gillette Stadium,Estadio BBVA,0,0,8,,4175.682637285069,3305.9559517434477,90.56197540071257,3213.8364698207542
Gillette Stadium,Hard Rock Stadium,7,4,8,1972.8649937897055,2080.4477279887137,1916.1683083852201,63.65621214283234,1972.5725361914604
Gillette Stadium,Levi's Stadium,4,2,12,4328.955126121065,4896.087772202157,4300.537394147394,76.62911314379545,4302.676570032508
Gillette Stadium,Lincoln Financial Field,5,2,12,416.24083500908625,2402.841940866862,382.33969413891907,80.92215883082888,408.1542502178104
Gillette Stadium,Lumen Field,3,1,4,4005.508835641964,4717.121462904253,4005.508835641964,62.769725146779464,3998.574440758143
Gillette Stadium,Mercedes-Benz Stadium,10,2,4,1487.4880047407523,1839.7188544637627,1453.4222437163287,59.83491620064666,1475.8644285538098
Gillette Stadium,MetLife Stadium,11,5,24,283.16120026933515,1771.8491425231466,239.30372436036538,69.6699821230814,273.92290755237013
Gillette Stadium,NRG Stadium,3,2,8,2577.2799185972963,2817.1387846503535,2566.8297726428464,70.17561475109703,2561.821224911351
Gillette Stadium,SoFi Stadium,8,2,24,4185.708338961977,9444.169643310117,4135.34786388147,81.67588167469039,4167.297114126398
Hard Rock Stadium,AT&T Stadium,5,2,4,1800.5463198616305,1953.1628319237198,1798.9239552855793,38.42217122669561,1796.5372175813407
Hard Rock Stadium,Arrowhead Stadium,1,1,2,1999.5433464692665,2173.9439594900687,1999.5433464692665,51.22543381901056,1970.6577598683682
Hard Rock Stadium,BC Place,0,0,8,,4879.945265043511,4618.269627347683,67.35161175527661,4491.502214343331
Hard Rock Stadium,BMO Field,9,3,8,1948.316091808312,3787.404274317674,1897.3315792158785,56.06869244168922,1966.7682898097084
Hard Rock Stadium,Estadio Akron,0,0,2,,2909.18571410096,2509.815038390885,41.89643481264453,2439.293616228491
Hard Rock Stadium,Estadio Azteca,8,2,4,2087.64142274017,2996.8177335526666,2050.707920209442,47.55686575319755,2074.4959122251835
Hard Rock Stadium,Estadio BBVA,0,0,4,,2420.7395619792933,2289.8453608418795,61.330683429021434,2001.0965021386314
Hard Rock Stadium,Gillette Stadium,7,4,8,1972.8649937897055,2075.046634454754,1916.1683083852201,63.65621214283234,1972.5725361914604
Hard Rock Stadium,Levi's Stadium,7,2,6,4152.26425423149,4156.612276085159,4109.138745836919,47.39782117210432,4111.444062887172
Hard Rock Stadium,Lincoln Financial Field,6,3,6,1629.909506371597,2901.8122036646255,1600.6274633053654,51.69086685913774,1620.2333867141222
Hard Rock Stadium,Lumen Field,3,2,2,4373.534874516726,4373.534874516726,4367.607763958799,33.53843317508833,4377.0035556132325
Hard Rock Stadium,Mercedes-Benz Stadium,20,2,2,947.7529605855152,947.7529605855152,936.4413609033428,30.603624228955525,955.1182469676842
Hard Rock Stadium,MetLife Stadium,17,7,12,1745.7745358259242,1999.3216761316708,1716.8328253781885,40.438690151390254,1746.998572708455
Hard Rock Stadium,NRG Stadium,6,3,4,1546.256115075356,1709.8100885298936,1537.827968230056,40.94432277940588,1547.1357502689045
Hard Rock Stadium,SoFi Stadium,7,2,12,3762.925535690281,8705.324629281013,3707.2660602333535,52.44458970299925,3753.9284703391622
Levi's Stadium,AT&T Stadium,8,3,6,2333.8943482490968,3195.7662042875563,2310.2147905513393,51.39507222765872,2314.95809591319
Levi's Stadium,Arrowhead Stadium,2,2,3,2398.4737579170196,2616.27253470352,2390.597016188281,64.19833481997368,2398.783543282117
Levi's Stadium,BC Place,4,2,12,1260.0335837635891,4593.009516753056,1231.359526482237,80.32451275623973,1323.512161068749
Levi's Stadium,BMO Field,2,1,12,3627.2960565352373,5236.33878659565,3627.2960565352373,69.04159344265234,3622.0860232543932
Levi's Stadium,Estadio Akron,8,3,3,2626.806443201016,2626.806443201016,2595.46504942275,54.86933581360765,2576.468850342827
Levi's Stadium,Estadio Azteca,4,1,6,3028.4206604523524,3412.911848366554,3025.9543318652236,60.52976675416067,2990.571313591605
Levi's Stadium,Estadio BBVA,0,0,6,,3793.022394577942,3265.427604688245,74.30358442998455,2427.9914907878588
Levi's Stadium,Gillette Stadium,4,2,12,4328.955126121065,5064.693013718758,4316.668620080949,76.62911314379546,4302.676570032508
Levi's Stadium,Hard Rock Stadium,6,2,6,4152.26425423149,4315.634225553481,4109.138745836919,47.39782117210432,4111.444062887172
Levi's Stadium,Lincoln Financial Field,4,1,9,4047.74854700502,4266.570776750652,3995.55544894624,64.66376786010086,4027.0624348242377
Levi's Stadium,Lumen Field,12,3,3,1098.9137839835805,1098.9137839835805,1081.6950087015857,46.51133417605144,1133.6836005317066
Levi's Stadium,Mercedes-Benz Stadium,13,2,3,3416.1800207201914,3448.8063621968054,3397.6420058730914,43.576525229918644,3399.2599176022886
Levi's Stadium,MetLife Stadium,11,4,18,4132.528748373911,4485.495898246239,4118.400577733477,53.41159115235337,4098.447550496141
Levi's Stadium,NRG Stadium,3,3,6,2616.2616023589717,2668.1158525467367,2583.2203714518487,53.917223780369,2596.1773940840685
Levi's Stadium,SoFi Stadium,32,14,18,549.5234373326438,6535.267583212963,476.70097749350543,65.41749070396237,504.61303390759673
Lincoln Financial Field,AT&T Stadium,3,1,6,2092.8766575973477,2995.6742832947725,2092.8766575973477,55.68811791469215,2112.0776617242823
Lincoln Financial Field,Arrowhead Stadium,2,1,3,1666.6625314341672,1820.8600536861939,1666.6625314341672,68.4913805070071,1657.39344457468
Lincoln Financial Field,BC Place,0,0,12,,5726.768341574738,4262.711892199356,84.61755844327315,3866.7165651060645
Lincoln Financial Field,BMO Field,4,1,12,557.9822323316698,2921.8547889519286,557.9822323316698,73.33463912968575,544.364030773651
Lincoln Financial Field,Estadio Akron,0,0,3,,3612.854288219494,3491.7429792818884,59.16238150064107,3430.0966897312196
Lincoln Financial Field,Estadio Azteca,0,0,6,,4092.574558556725,3277.5221791576964,64.82281244119409,3238.502833336685
Lincoln Financial Field,Estadio BBVA,0,0,6,,3496.680550999375,2867.7940412235903,78.59663011701798,2812.647914453674
Lincoln Financial Field,Gillette Stadium,5,2,12,416.24083500908625,2641.798350199109,382.33969413891907,80.92215883082888,408.1542502178104
Lincoln Financial Field,Hard Rock Stadium,7,3,6,1629.909506371597,2306.7359352638055,1600.6274633053654,51.69086685913774,1620.2333867141222
Lincoln Financial Field,Levi's Stadium,4,1,9,4047.74854700502,4254.804909877076,3999.2377310889933,64.66376786010086,4027.0624348242377
Lincoln Financial Field,Lumen Field,3,1,3,3817.6538907073505,4125.098165120274,3817.6538907073505,50.80437986308487,3821.909528218981
Lincoln Financial Field,Mercedes-Benz Stadium,10,2,3,1099.7435486689253,2199.7784742295466,1071.592953109364,47.869570916952064,1067.7546014723098
Lincoln Financial Field,MetLife Stadium,7,4,18,154.6896143655809,2029.1354783400986,128.84356361715297,57.704636839386794,137.41523711844584
Lincoln Financial Field,NRG Stadium,3,1,6,2129.4835092014905,2351.8073871734673,2129.4835092014905,58.21026946740242,2161.822357759667
Lincoln Financial Field,SoFi Stadium,3,1,18,3856.31491079229,9026.345301225103,3788.960447738359,69.71053639099578,3855.9831142778567
Lumen Field,AT&T Stadium,3,1,2,2668.1529866142673,3665.5782138778,2668.1529866142673,37.53568423064273,2685.494702488524
Lumen Field,Arrowhead Stadium,2,1,1,2391.602126430065,2391.602126430065,2391.602126430065,50.33894682295769,2428.177072010463
Lumen Field,BC Place,7,3,5,164.49153641558408,484.5238758649292,138.56489921645536,67.67456777464932,195.67877791401654
Lumen Field,BMO Field,1,1,4,3306.641002167467,4468.278201824557,3306.641002167467,55.18220544563634,3323.514761278438
Lumen Field,Estadio Akron,0,0,1,,3968.3391186818326,3968.3391186818326,41.009947816591655,3438.448384553642
Lumen Field,Estadio Azteca,0,0,2,,5526.281364360421,3800.5880992968764,46.670378757144675,3779.234458913603
Lumen Field,Estadio BBVA,0,0,2,,3489.4890743021742,3227.262474995176,60.44419643296856,3111.7994000718586
Lumen Field,Gillette Stadium,3,1,4,4005.508835641964,4831.562653171601,4005.508835641964,62.769725146779464,3998.574440758143
Lumen Field,Hard Rock Stadium,3,2,2,4373.534874516726,4373.534874516726,4367.607763958799,33.53843317508833,4377.0035556132325
Lumen Field,Levi's Stadium,12,3,3,1098.9137839835805,1098.9137839835805,1081.6950087015857,46.51133417605144,1133.6836005317066
Lumen Field,Lincoln Financial Field,3,1,3,3817.6538907073505,4189.607139802218,3817.6538907073505,50.80437986308487,3821.909528218981
Lumen Field,Mercedes-Benz Stadium,6,1,1,3504.977057741039,3504.977057741039,3504.977057741039,29.717137232902648,3504.054286249754
Lumen Field,MetLife Stadium,8,2,6,3870.72604065637,4350.6088263199035,3854.8141768260725,39.552203155337374,3855.2701518998824
Lumen Field,NRG Stadium,4,1,2,3013.4051415870726,3039.930726328582,3013.4051415870726,40.057835783353006,3043.468437692507
Lumen Field,SoFi Stadium,14,5,6,1543.6396443327953,6850.135638310962,1509.6356444261412,51.55810270694638,1553.1756963235448
Mercedes-Benz Stadium,AT&T Stadium,14,2,2,1166.279103501985,1166.279103501985,1158.0263834002938,34.600875284509925,1184.759270508731
Mercedes-Benz Stadium,Arrowhead Stadium,8,1,1,1113.3754977833473,1113.3754977833473,1113.3754977833473,47.40413787682489,1076.381935324036
Mercedes-Benz Stadium,BC Place,0,0,4,,6053.997567130802,3993.87749566578,63.53031581309093,3602.2936839197646
Mercedes-Benz Stadium,BMO Field,6,1,4,1191.0770519839973,3154.3459608657186,1191.0770519839973,52.247396499503544,1179.8264722758836
Mercedes-Benz Stadium,Estadio Akron,6,1,1,2363.848835053402,2363.848835053402,2363.848835053402,38.07513887045886,2372.8154198015454
Mercedes-Benz Stadium,Estadio Azteca,7,1,2,2143.3945057221927,2451.1746773754044,2143.3945057221927,43.73556981101188,2171.0264152129284
Mercedes-Benz Stadium,Estadio BBVA,6,1,2,1745.2431573265287,2297.309615285164,1745.2431573265287,57.50938748683576,1771.7158798638106
Mercedes-Benz Stadium,Gillette Stadium,11,2,4,1487.4880047407523,1905.064404130455,1453.4222437163287,59.83491620064666,1475.8644285538098
Mercedes-Benz Stadium,Hard Rock Stadium,20,2,2,947.7529605855152,947.7529605855152,936.4413609033428,30.603624228955525,955.1182469676842
Mercedes-Benz Stadium,Levi's Stadium,12,2,3,3416.1800207201914,5979.854278875847,3397.6420058730914,43.576525229918644,3399.2599176022886
Mercedes-Benz Stadium,Lincoln Financial Field,10,2,3,1099.7435486689253,2199.7784742295466,1071.592953109364,47.869570916952064,1067.7546014723098
Mercedes-Benz Stadium,Lumen Field,6,1,1,3504.977057741039,3504.977057741039,3504.977057741039,29.717137232902648,3504.054286249754
Mercedes-Benz Stadium,MetLife Stadium,27,4,6,1225.4311157804382,1400.8854240463315,1199.3163539241523,36.617394209204576,1202.8946867916125
Mercedes-Benz Stadium,NRG Stadium,14,2,2,1112.871709607,1112.871709607,1107.5625747320166,37.12302683722021,1134.634078690825
Mercedes-Benz Stadium,SoFi Stadium,14,2,6,3103.5254099642193,8768.571306079793,3081.2742935682472,48.623293760813574,3119.459173344489
MetLife Stadium,AT&T Stadium,10,3,12,2223.6819627385107,2470.698379670084,2199.9109952864233,44.435941206944655,2228.842961845557
MetLife Stadium,Arrowhead Stadium,2,2,6,1765.352917868574,2028.1498625423426,1753.0123150544425,57.23920379925962,1747.213902536305
MetLife Stadium,BC Place,4,2,24,3914.775830009571,6379.7854150643225,3899.164219243416,73.36538173552566,3893.004488158814
MetLife Stadium,BMO Field,16,4,24,565.2641367472423,2882.157833846472,540.3414184286216,62.08246242193827,540.0866900513589
MetLife Stadium,Estadio Akron,0,0,6,,3972.8876443357494,3619.295949719955,47.91020479289358,3561.1178025178633
MetLife Stadium,Estadio Azteca,5,2,12,3354.023667510208,3834.97294034008,3342.7106100831184,53.57063573344661,3373.9090349184557
MetLife Stadium,Estadio BBVA,0,0,12,,3668.2657148025314,3000.6902719930813,67.34445340927049,2941.008455283563
MetLife Stadium,Gillette Stadium,10,4,24,294.1255692465776,1841.4070162736307,257.32609735030684,69.6699821230814,273.92290755237013
MetLife Stadium,Hard Rock Stadium,17,7,12,1745.7745358259242,2020.8247769617244,1716.8328253781885,40.438690151390254,1746.998572708455
