"REF_DATE","GEO","DGUID","Air passenger traffic","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Nova Scotia","2021A000212","Passengers deplaned","Number","223","units","0","v65781720","103000.3","","x","","","0"
"2008","Nova Scotia","2021A000212","Total, passenger sector","Number","223","units","0","v65781721","103000.4","","x","","","0"
"2008","Nova Scotia","2021A000212","Domestic sector","Number","223","units","0","v65781722","103000.5","","x","","","0"
"2008","Nova Scotia","2021A000212","Transborder sector","Number","223","units","0","v65781723","103000.6","","x","","","0"
"2008","Nova Scotia","2021A000212","Other International sector","Number","223","units","0","v65781724","103000.7","","x","","","0"
"2008","Nova Scotia","2021A000212","Passenger flights","Number","223","units","0","v65781725","103000.8","","x","","","0"
"2008","Greenwood, Nova Scotia","","Total, passengers enplaned and deplaned","Number","223","units","0","v65781358","5633.1","","x","","","0"
"2008","Greenwood, Nova Scotia","","Passengers enplaned","Number","223","units","0","v65781359","5633.2","","x","","","0"
"2008","Greenwood, Nova Scotia","","Passengers deplaned","Number","223","units","0","v65781360","5633.3","","x","","","0"
"2008","Greenwood, Nova Scotia","","Total, passenger sector","Number","223","units","0","v65781361","5633.4","","x","","","0"
"2008","Greenwood, Nova Scotia","","Domestic sector","Number","223","units","0","v65781362","5633.5","","x","","","0"
"2008","Greenwood, Nova Scotia","","Transborder sector","Number","223","units","0","v65781363","5633.6","0","","","","0"
"2008","Greenwood, Nova Scotia","","Other International sector","Number","223","units","0","v65781364","5633.7","0","","","","0"
"2008","Greenwood, Nova Scotia","","Passenger flights","Number","223","units","0","v65781365","5633.8","","x","","","0"
"2008","Halifax/Robert L Stanfield International, Nova Scotia","","Total, passengers enplaned and deplaned","Number","223","units","0","v65778638","21.1","3460651","","","","0"
"2008","Halifax/Robert L Stanfield International, Nova Scotia","","Passengers enplaned","Number","223","units","0","v65778639","21.2","1728718","","","","0"
"2008","Halifax/Robert L Stanfield International, Nova Scotia","","Passengers deplaned","Number","223","units","0","v65778640","21.3","1731933","","","","0"
"2008","Halifax/Robert L Stanfield International, Nova Scotia","","Total, passenger sector","Number","223","units","0","v65778641","21.4","3460651","","","","0"
"2008","Halifax/Robert L Stanfield International, Nova Scotia","","Domestic sector","Number","223","units","0","v65778642","21.5","2776607","","","","0"
"2008","Halifax/Robert L Stanfield International, Nova Scotia","","Transborder sector","Number","223","units","0","v65778643","21.6","376690","","","","0"
"2008","Halifax/Robert L Stanfield International, Nova Scotia","","Other International sector","Number","223","units","0","v65778644","21.7","307354","","","","0"
"2008","Halifax/Robert L Stanfield International, Nova Scotia","","Passenger flights","Number","223","units","0","v65778645","21.8","57370","","","","0"
