country,opponent,commence_time,venue,p_win,closeness,trends_interest_per_capita,game_weight_for_country
Saudi Arabia,Spain,2026-06-21T16:00:00Z,away,0.0397611980332001,0.4555141274595816,288000000.0,1311.880687083595
Ecuador,Ivory Coast,2026-06-14T23:00:00Z,away,0.415271174952272,0.9848465937826232,129500000.0,1275.376338948497
Iraq,France,2026-06-22T21:00:00Z,away,0.0406629841600025,0.4731390617623585,258000000.0,1220.698779346885
Germany,Curaçao,2026-06-14T17:00:00Z,home,0.9261708245322884,0.2782237410495119,420000000.0,1168.53971240795
Ecuador,Germany,2026-06-25T20:00:00Z,home,0.1890471395427665,0.8949013779760656,129500000.0,1158.897284479005
Spain,Saudi Arabia,2026-06-21T16:00:00Z,home,0.8543677467163934,0.4555141274595816,240000000.0,1093.2339059029957
Argentina,Jordan,2026-06-28T02:00:00Z,away,0.7998907619613276,0.5734496159709885,188000000.0,1078.0852780254584
Netherlands,Japan,2026-06-14T20:00:00Z,home,0.4762831172345732,0.9603331966146872,105000000.0,1008.3498564454216
Spain,Cape Verde,2026-06-15T16:00:00Z,home,0.8760132156128039,0.4073975781286083,240000000.0,977.7541875086598
France,Iraq,2026-06-22T21:00:00Z,home,0.8453445907015865,0.4731390617623585,201000000.0,951.0095141423405
Netherlands,Sweden,2026-06-20T17:00:00Z,home,0.5674881002407284,0.8922434068419883,105000000.0,936.8555771840878
Portugal,Colombia,2026-06-27T23:30:00Z,away,0.4392895736973927,0.9778908132968446,94500000.0,924.1068185655181
Iran,Egypt,2026-06-27T03:00:00Z,away,0.2984054028835133,0.9935250984928328,91000000.0,904.1078396284778
Netherlands,Tunisia,2026-06-25T23:00:00Z,away,0.6091642181416849,0.8488460651185701,105000000.0,891.2883683744986
New Zealand,Iran,2026-06-16T01:00:00Z,away,0.2201296266491334,0.9395625182202948,93600000.0,879.430517054196
Iran,New Zealand,2026-06-16T01:00:00Z,home,0.5065622077623214,0.9395625182202948,91000000.0,855.0018915804683
Senegal,Norway,2026-06-23T00:00:00Z,away,0.2715832680706564,0.9735362766185184,87500000.0,851.8442420412035
New Zealand,Egypt,2026-06-22T01:00:00Z,home,0.1938457894213087,0.9074930171798968,93600000.0,849.4134640803835
Ivory Coast,Ecuador,2026-06-14T23:00:00Z,home,0.2678478558194909,0.9848465937826232,84000000.0,827.2711387774035
