#match,group,date,local_time,stadium,city,country,day,UTC_Offset,side,opponent,localtime,country_odds,opponent_odds,country_weighted,opponent_weighted,p_win,closeness,trends_interest_per_capita,game_weight_for_country,local_hour
30,D,2026-06-19,15.0,Lumen Field,Seattle,USA,2,-7,team_1,Australia,3.0,USA,Australia,USA,Australia,0.5406783163821635,0.9144454911967268,5780000000.0,52854.949391170805,3
65,G,2026-06-26,23.0,Lumen Field,Seattle,Egypt,3,-7,team_1,Iran,8.0,Egypt,Iran,Egypt,Iran,0.3896706279390388,0.9935250984928328,530000000.0,5265.683022012014,8
3,B,2026-06-12,15.0,BMO Field,Toronto,Canada,1,-4,team_1,Bosnia and Herzegovina,14.0,Canada,Bosnia & Herzegovina,Canada,Bosnia & Herzegovina,0.5199690006808263,0.9310115130922966,1040000000.0,9682.519736159886,14
34,E,2026-06-20,16.0,BMO Field,Toronto,Germany,2,-4,team_1,Ivory Coast,21.0,Germany,Ivory Coast,Germany,Ivory Coast,0.6096030008872192,0.8513609739041146,420000000.0,3575.7160903972813,21
62,I,2026-06-26,15.0,BMO Field,Toronto,Senegal,3,-4,team_1,Iraq,19.0,Senegal,Iraq,Senegal,Iraq,0.6226511938281983,0.8333513543822001,87500000.0,729.182435084425,19
23,L,2026-06-17,19.0,BMO Field,Toronto,Ghana,1,-4,team_1,Panama,23.0,Ghana,Panama,Ghana,Panama,0.469358349398182,0.9638975657692735,1190000000.0,11470.381032654355,23
47,L,2026-06-23,19.0,BMO Field,Toronto,Panama,2,-4,team_1,Croatia,18.0,Panama,Croatia,Panama,Croatia,0.1407772059625521,0.8272613519351831,48400000.0,400.3944943366286,18
25,A,2026-06-18,12.0,Mercedes-Benz Stadium,Atlanta,South Africa,2,-4,team_2,Czechia,18.0,South Africa,Czech Republic,South Africa,Czech Republic,0.2379538198934173,0.962734900772063,1380000000.0,13285.741630654473,18
2,A,2026-06-11,22.0,Estadio Akron,Guadalajara,Czechia,1,-6,team_2,Korea Republic,5.0,Czech Republic,South Korea,Czech Republic,South Korea,0.3478887631404389,0.997461798367622,63000000.0,628.4009329716018,5
52,C,2026-06-24,18.0,Mercedes-Benz Stadium,Atlanta,Haiti,3,-4,team_2,Morocco,17.0,Haiti,Morocco,Haiti,Morocco,0.1067748914087584,0.7236875732516449,68400000.0,495.00230010412514,17
28,A,2026-06-18,21.0,Estadio Akron,Guadalajara,Korea Republic,2,-6,team_2,Mexico,12.0,South Korea,Mexico,South Korea,Mexico,0.2064150227811407,0.9289380936839552,459000000.0,4263.825850009354,12
13,H,2026-06-15,12.0,Mercedes-Benz Stadium,Atlanta,Cape Verde,1,-4,team_2,Spain,15.0,Cape Verde,Spain,Cape Verde,Spain,0.0339452023859962,0.4073975781286083,580000.0,2.362905953145928,15
54,A,2026-06-24,21.0,Estadio BBVA,Monterrey,Korea Republic,3,-6,team_2,South Africa,12.0,South Korea,South Africa,South Korea,South Africa,0.4486047152735027,0.9736495307284996,459000000.0,4469.051346043813,12
37,H,2026-06-21,12.0,Mercedes-Benz Stadium,Atlanta,Saudi Arabia,2,-4,team_2,Spain,19.0,Saudi Arabia,Spain,Saudi Arabia,Spain,0.0397611980332001,0.4555141274595816,288000000.0,1311.880687083595,19
5,B,2026-06-13,15.0,Levi's Stadium,San Francisco,Switzerland,1,-7,team_2,Qatar,23.0,Switzerland,Qatar,Switzerland,Qatar,0.7423929325499605,0.670026150228556,69600000.0,466.338200559075,23
70,K,2026-06-27,19.5,Mercedes-Benz Stadium,Atlanta,Uzbekistan,3,-4,team_2,DR Congo,4.5,Uzbekistan,DR Congo,Uzbekistan,DR Congo,0.3325887670596281,0.9952095704667656,238000000.0,2368.598777710902,4
27,B,2026-06-18,18.0,BC Place,Vancouver,Qatar,2,-7,team_2,Canada,4.0,Qatar,Canada,Qatar,Canada,0.11014402169332,0.7511478446932925,83200000.0,624.9550067848194,4
49,B,2026-06-24,15.0,BC Place,Vancouver,Canada,3,-7,team_2,Switzerland,17.0,Canada,Switzerland,Canada,Switzerland,0.2562666395816383,0.9684804209972732,1040000000.0,10072.19637837164,17
7,C,2026-06-13,21.0,Gillette Stadium,Boston,Scotland,1,-4,team_2,Haiti,1.0,Scotland,Haiti,Scotland,Haiti,0.6656778998963142,0.7838717264475732,60500000.0,474.24239450078176,1
29,C,2026-06-19,18.0,Gillette Stadium,Boston,Morocco,2,-4,team_2,Scotland,23.0,Morocco,Scotland,Morocco,Scotland,0.4548496339240162,0.9693472649828604,333000000.0,3227.926392392925,23
18,I,2026-06-16,18.0,Gillette Stadium,Boston,Norway,1,-4,team_2,Iraq,23.0,Norway,Iraq,Norway,Iraq,0.7672700441709484,0.6305429011823727,38500000.0,242.75901695521347,23
61,I,2026-06-26,15.0,Gillette Stadium,Boston,France,3,-4,team_2,Norway,20.0,France,Norway,France,Norway,0.5527451729194611,0.9040815926006152,201000000.0,1817.2040011272368,20
46,L,2026-06-23,16.0,Gillette Stadium,Boston,Ghana,2,-4,team_2,England,20.0,Ghana,England,Ghana,England,0.1024482319020266,0.7144241933315857,1190000000.0,8501.64790064587,20
10,F,2026-06-14,16.0,AT&T Stadium,Dallas,Japan,1,-5,team_2,Netherlands,6.0,Japan,Netherlands,Japan,Netherlands,0.2613987614505042,0.9603331966146872,250000000.0,2400.832991536718,6
57,F,2026-06-25,19.0,AT&T Stadium,Dallas,Sweden,3,-5,team_2,Japan,1.0,Sweden,Japan,Sweden,Japan,0.2654862663114107,0.9700610309490458,73500000.0,712.9948577475486,1
41,J,2026-06-22,13.0,AT&T Stadium,Dallas,Austria,2,-5,team_2,Argentina,19.0,Austria,Argentina,Austria,Argentina,0.1760154698767063,0.8859275125000925,45000000.0,398.6673806250416,19
8,D,2026-06-13,21.0,BC Place,Vancouver,Türkiye,1,-7,team_2,Australia,7.0,Turkey,Australia,Turkey,Australia,0.5245181012829756,0.9270190720176102,344000000.0,3188.9456077405794,7
72,J,2026-06-27,22.0,AT&T Stadium,Dallas,Argentina,3,-5,team_2,Jordan,0.0,Argentina,Jordan,Argentina,Jordan,0.7998907619613276,0.5734496159709885,188000000.0,1078.0852780254584,0
32,D,2026-06-19,0.0,Levi's Stadium,San Francisco,Paraguay,2,-7,team_2,Türkiye,3.0,Paraguay,Turkey,Paraguay,Turkey,0.2786329308903773,0.9848464366238068,42000000.0,413.6355033819988,3
22,L,2026-06-17,16.0,AT&T Stadium,Dallas,Croatia,1,-5,team_2,England,22.0,Croatia,England,Croatia,England,0.2001177012935424,0.910285804715173,36000000.0,327.70288969746224,22
60,D,2026-06-25,22.0,Levi's Stadium,San Francisco,Australia,3,-7,team_2,Paraguay,15.0,Australia,Paraguay,Australia,Paraguay,0.2756692808484375,0.980520385069706,338000000.0,3314.158901535606,15
9,E,2026-06-14,13.0,NRG Stadium,Houston,Curaçao,1,-5,team_2,Germany,14.0,Curaçao,Germany,Curaçao,Germany,0.0191179987471047,0.2782237410495119,5735000.0,15.956131549189507,14
33,F,2026-06-20,13.0,NRG Stadium,Houston,Sweden,2,-5,team_2,Netherlands,19.0,Sweden,Netherlands,Sweden,Netherlands,0.1884899093846842,0.8922434068419883,73500000.0,655.7989040288614,19
63,H,2026-06-26,20.0,NRG Stadium,Houston,Saudi Arabia,3,-5,team_2,Cape Verde,4.0,Saudi Arabia,Cape Verde,Saudi Arabia,Cape Verde,0.3790858929909356,0.9940743100832174,288000000.0,2862.9340130396663,4
21,K,2026-06-17,13.0,NRG Stadium,Houston,DR Congo,1,-5,team_2,Portugal,19.0,DR Congo,Portugal,DR Congo,Portugal,0.08830868042168,0.6607216920574163,297000000.0,1962.3434254105264,19
45,K,2026-06-23,13.0,NRG Stadium,Houston,Uzbekistan,2,-5,team_2,Portugal,23.0,Uzbekistan,Portugal,Uzbekistan,Portugal,0.0713129478603195,0.605193793141346,238000000.0,1440.3612276764036,23
35,E,2026-06-20,20.0,Arrowhead Stadium,Kansas City,Curaçao,2,-5,team_2,Ecuador,21.0,Curaçao,Ecuador,Curaçao,Ecuador,0.076209311183934,0.6351646333335227,5735000.0,36.42669172167752,21
58,F,2026-06-25,19.0,Arrowhead Stadium,Kansas City,Netherlands,3,-5,team_2,Tunisia,1.0,Netherlands,Tunisia,Netherlands,Tunisia,0.6091642181416849,0.8488460651185701,105000000.0,891.2883683744986,1
12,F,2026-06-14,22.0,Estadio BBVA,Monterrey,Tunisia,1,-6,team_2,Sweden,5.0,Tunisia,Sweden,Tunisia,Sweden,0.2303034278712717,0.95151574087613,84000000.0,799.2732223359492,5
19,J,2026-06-16,21.0,Arrowhead Stadium,Kansas City,Algeria,1,-5,team_2,Argentina,3.0,Algeria,Argentina,Algeria,Argentina,0.1139427869531362,0.765125963356679,220000000.0,1683.2771193846938,3
36,F,2026-06-20,0.0,Estadio BBVA,Monterrey,Japan,2,-6,team_2,Tunisia,15.0,Japan,Tunisia,Japan,Tunisia,0.510453858713173,0.9341000177141868,250000000.0,2335.250044285467,15
71,J,2026-06-27,22.0,Arrowhead Stadium,Kansas City,Austria,3,-5,team_2,Algeria,4.0,Austria,Algeria,Austria,Algeria,0.4441337454413406,0.97560934848284,45000000.0,439.0242068172779,4
26,B,2026-06-18,15.0,SoFi Stadium,Los Angeles,Bosnia and Herzegovina,2,-7,team_2,Switzerland,23.0,Bosnia & Herzegovina,Switzerland,Bosnia & Herzegovina,Switzerland,0.1595345563272411,0.8523975357822409,59400000.0,506.3241362546511,23
14,G,2026-06-15,15.0,BC Place,Vancouver,Egypt,1,-7,team_2,Belgium,0.0,Egypt,Belgium,Egypt,Belgium,0.1911165124426053,0.8923289053161562,530000000.0,4729.343198175628,0
4,D,2026-06-12,21.0,SoFi Stadium,Los Angeles,Paraguay,1,-7,team_2,USA,0.0,Paraguay,USA,Paraguay,USA,0.2517021881089473,0.960062779385906,42000000.0,403.22636734208055,0
