match,group,date,time,tz,team1,team2,stadium,city_name,country,lat,lon,kickoff,temperature_2m,relative_humidity_2m,elevation,apparent_temperature,team1_camp_name,team1_camp_latitude,team1_camp_longitude,team1_orig_team,team1_elevation,team1_temperature_2m,team1_relative_humidity_2m,team1_apparent_temperature,team2_camp_name,team2_camp_latitude,team2_camp_longitude,team2_orig_team,team2_elevation,team2_temperature_2m,team2_relative_humidity_2m,team2_apparent_temperature
31,D,2026-06-19,20:00,UTC-7,Türkiye,Paraguay,Levi's Stadium,Santa Clara,USA,37.403,-121.97,2026-06-19 20:00:00,18.139999999999997,56.93333333333333,3.0,15.826666666666666,Arizona Athletic Grounds,33.356766,-111.66667,Türkiye,405.0,33.866359649122806,17.053947368421053,31.62574561403509,Spartan Soccer Complex,37.363796,-121.91234,Paraguay,22.0,19.767061403508773,55.69736842105263,18.706491228070178
59,D,2026-06-25,19:00,UTC-7,Türkiye,USA,SoFi Stadium,Inglewood,USA,33.953,-118.339,2026-06-25 19:00:00,20.42,67.73333333333333,38.0,19.573333333333338,Arizona Athletic Grounds,33.356766,-111.66667,Türkiye,405.0,33.866359649122806,17.053947368421053,31.62574561403509,Great Park Sports Complex,33.63796,-117.80397,USA,82.0,19.44030701754386,73.43552631578947,20.019824561403507
60,D,2026-06-25,19:00,UTC-7,Paraguay,Australia,Levi's Stadium,Santa Clara,USA,37.403,-121.97,2026-06-25 19:00:00,20.859999999999996,54.46666666666667,3.0,18.360000000000003,Spartan Soccer Complex,37.363796,-121.91234,Paraguay,22.0,19.767061403508773,55.69736842105263,18.706491228070178,Oakland Roots/Soul Training Facility,37.785587,-122.16867,Australia,9.0,16.256140350877192,75.73552631578947,15.425307017543858
10,E,2026-06-14,12:00,UTC-5,Germany,Curaçao,NRG Stadium,Houston,USA,29.685,-95.411,2026-06-14 12:00:00,31.2,61.46666666666667,14.0,35.626666666666665,Wake Forest University,36.168716,-80.298706,Germany,292.0,24.49951754385965,65.5938596491228,26.018026315789474,Florida Atlantic University,26.397186,-80.099,Curaçao,8.0,26.84293859649123,80.84736842105264,31.06456140350877
9,E,2026-06-14,19:00,UTC-4,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,39.901,-75.168,2026-06-14 19:00:00,24.44,61.86666666666667,1.0,24.673333333333336,Philadelphia Union,39.824253,-75.33426,Ivory Coast,10.0,23.02241228070175,68.15350877192982,24.00486842105263,Columbus Crew Performance Centre,39.824253,-82.9805,Ecuador,225.0,22.702456140350876,69.94298245614036,23.94311403508772
33,E,2026-06-20,16:00,UTC-4,Germany,Ivory Coast,BMO Field,Toronto,Canada,43.633,-79.419,2026-06-20 16:00:00,24.653333333333332,58.46666666666667,83.0,25.280000000000005,Wake Forest University,36.168716,-80.298706,Germany,292.0,24.49951754385965,65.5938596491228,26.018026315789474,Philadelphia Union,39.824253,-75.33426,Ivory Coast,10.0,23.02241228070175,68.15350877192982,24.00486842105263
34,E,2026-06-20,19:00,UTC-5,Ecuador,Curaçao,Arrowhead Stadium,Kansas City,USA,39.049,-94.484,2026-06-20 19:00:00,31.006666666666668,52.8,259.0,32.64666666666667,Columbus Crew Performance Centre,39.824253,-82.9805,Ecuador,225.0,22.702456140350876,69.94298245614036,23.94311403508772,Florida Atlantic University,26.397186,-80.099,Curaçao,8.0,26.84293859649123,80.84736842105264,31.06456140350877
55,E,2026-06-25,16:00,UTC-4,Curaçao,Ivory Coast,Lincoln Financial Field,Philadelphia,USA,39.901,-75.168,2026-06-25 16:00:00,30.726666666666667,41.06666666666667,1.0,31.480000000000004,Florida Atlantic University,26.397186,-80.099,Curaçao,8.0,26.84293859649123,80.84736842105264,31.06456140350877,Philadelphia Union,39.824253,-75.33426,Ivory Coast,10.0,23.02241228070175,68.15350877192982,24.00486842105263
56,E,2026-06-25,16:00,UTC-4,Ecuador,Germany,MetLife Stadium,East Rutherford,USA,40.814,-74.075,2026-06-25 16:00:00,30.106666666666666,45.13333333333333,4.0,30.866666666666667,Columbus Crew Performance Centre,39.824253,-82.9805,Ecuador,225.0,22.702456140350876,69.94298245614036,23.94311403508772,Wake Forest University,36.168716,-80.298706,Germany,292.0,24.49951754385965,65.5938596491228,26.018026315789474
11,F,2026-06-14,15:00,UTC-5,Netherlands,Japan,AT&T Stadium,Dallas,USA,32.748,-97.093,2026-06-14 15:00:00,31.246666666666663,59.733333333333334,193.0,35.026666666666664,KC Current Training Facility,39.121265,-94.57419,Netherlands,227.0,25.764517543859647,66.40263157894736,27.63188596491228,Nashville SC,36.098415,-86.73151,Japan,155.0,25.293377192982454,69.73201754385966,27.671622807017545
12,F,2026-06-14,20:00,UTC-6,Sweden,Tunisia,Estadio BBVA,Guadalupe,Mexico,25.669,-100.247,2026-06-14 20:00:00,30.96666666666666,44.53333333333333,494.0,31.486666666666668,FC Dallas Stadium,33.14587,-96.863464,Sweden,186.0,28.6184649122807,66.05570175438596,31.31171052631579,Rayados Training Centre,25.694199,-100.28293,Tunisia,479.0,28.17890350877193,61.907456140350874,30.49228070175438
35,F,2026-06-20,12:00,UTC-5,Netherlands,Sweden,NRG Stadium,Houston,USA,29.685,-95.411,2026-06-20 12:00:00,31.653333333333332,64.6,14.0,36.67999999999999,KC Current Training Facility,39.121265,-94.57419,Netherlands,227.0,25.764517543859647,66.40263157894736,27.63188596491228,FC Dallas Stadium,33.14587,-96.863464,Sweden,186.0,28.6184649122807,66.05570175438596,31.31171052631579
