month,day,hour,stadium,city,latitude,longitude,utc_offset_seconds,timezone,timezone_abbreviation,elevation,temperature_2m,relative_humidity_2m,apparent_temperature
6,13,17,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.240000000000002,58.6,20.506666666666668
6,13,18,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.866666666666667,60.06666666666667,19.973333333333333
6,13,19,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.286666666666665,63.2,19.393333333333334
6,13,20,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.606666666666666,65.53333333333333,18.62666666666667
6,13,21,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.77333333333333,69.06666666666666,17.873333333333335
6,13,22,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.033333333333335,71.06666666666666,17.146666666666665
6,13,23,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.220000000000002,71.2,16.273333333333333
6,14,0,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.493333333333332,74.46666666666667,15.766666666666667
6,14,1,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.346666666666668,78.26666666666667,15.793333333333331
6,14,2,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.02,77.73333333333333,15.28
6,14,3,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.680000000000001,76.86666666666666,14.639999999999999
6,14,4,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.24666666666667,76.66666666666667,13.98
6,14,5,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.880000000000003,77.6,13.48
6,14,6,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.986666666666668,77.8,13.593333333333332
6,14,7,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.633333333333333,76.46666666666667,14.286666666666665
6,14,8,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.76,73.33333333333333,15.513333333333332
6,14,9,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.913333333333334,69.93333333333334,16.813333333333333
6,14,10,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.920000000000005,67.26666666666667,18.246666666666666
6,14,11,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.76666666666667,64.6,19.533333333333335
6,14,12,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.386666666666667,62.46666666666667,20.673333333333332
6,14,13,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.753333333333334,60.333333333333336,21.366666666666667
6,14,14,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.026666666666664,58.6,21.76
6,14,15,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.166666666666668,57.06666666666667,21.540000000000003
6,14,16,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.24,57.0,21.14
6,14,17,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.006666666666664,56.8,20.22666666666667
6,14,18,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.666666666666668,56.733333333333334,19.533333333333335
6,14,19,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.026666666666674,57.666666666666664,18.74666666666667
6,14,20,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.279999999999998,59.666666666666664,18.126666666666665
6,14,21,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.406666666666663,62.266666666666666,17.30666666666667
6,14,22,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.533333333333335,63.93333333333333,16.306666666666665
6,14,23,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.959999999999997,69.26666666666667,15.946666666666665
6,15,0,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.933333333333334,70.4,14.499999999999998
6,15,1,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.406666666666665,72.66666666666667,13.94
6,15,2,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.120000000000001,73.93333333333334,13.586666666666666
6,15,3,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.899999999999999,75.06666666666666,13.313333333333334
6,15,4,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.653333333333334,76.4,13.06666666666667
6,15,5,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.42666666666667,77.13333333333334,12.833333333333337
6,15,6,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.573333333333334,76.2,12.946666666666669
6,15,7,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.379999999999999,73.26666666666667,13.76
6,15,8,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.753333333333334,68.93333333333334,15.206666666666669
6,15,9,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.2,64.26666666666667,16.753333333333334
6,15,10,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.233333333333334,60.6,17.966666666666665
6,15,11,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.819999999999997,58.13333333333333,18.680000000000003
6,15,12,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.25333333333333,56.333333333333336,19.366666666666667
6,15,13,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.733333333333334,54.6,20.03333333333334
6,15,14,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.19333333333333,53.333333333333336,20.653333333333332
6,15,15,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.493333333333332,52.666666666666664,21.013333333333332
6,15,16,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.459999999999997,53.266666666666666,20.793333333333333
6,15,17,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.253333333333334,54.53333333333333,20.366666666666667
6,15,18,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.8,56.6,19.65333333333333
6,15,19,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.186666666666667,58.6,18.986666666666668
6,15,20,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.33333333333333,59.666666666666664,17.98
6,15,21,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.28666666666667,62.13333333333333,16.880000000000003
6,15,22,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.386666666666667,64.26666666666667,15.88
6,15,23,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.54,68.0,15.12
6,16,0,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.319999999999997,67.6,14.939999999999996
6,16,1,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.493333333333332,70.06666666666666,14.266666666666664
6,16,2,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.153333333333332,71.2,14.006666666666666
6,16,3,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.893333333333334,72.86666666666666,13.793333333333331
6,16,4,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.740000000000002,75.0,13.646666666666668
6,16,5,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.726666666666667,77.13333333333334,13.653333333333334
6,16,6,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.133333333333331,77.73333333333333,14.060000000000002
6,16,7,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.106666666666666,76.73333333333333,15.26666666666667
6,16,8,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.506666666666668,73.0,16.866666666666664
6,16,9,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.080000000000002,67.93333333333334,18.626666666666665
6,16,10,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.34,62.6,19.826666666666664
6,16,11,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.400000000000002,58.8,21.093333333333327
6,16,12,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,22.2,56.53333333333333,22.266666666666662
